p_s p_d d k L L2 K1 K2 E_S E_D E_I f_A_orig f_A_mut
0.01 0.05 0.05 21 100000 99970 99980 99950 1960 11435 9880 39983 39019
0.01 0.05 0.1 21 100000 104882 99980 104862 982 4448 7537 39983 40235
0.01 0.05 0.1 21 100000 105364 99980 105344 920 4285 7556 39983 40368
0.01 0.05 0.1 21 100000 105102 99980 105082 833 4163 7298 39983 40370
0.01 0.05 0.1 21 100000 105213 99980 105193 995 4522 7745 39983 40496
0.01 0.05 0.1 21 100000 104900 99980 104880 1011 4491 7236 39983 40300
0.01 0.1 0.01 21 100000 90972 99980 90952 1634 16653 1341 39983 35936
0.01 0.1 0.01 21 100000 90793 99980 90773 1571 15812 1301 39983 36055
0.01 0.1 0.01 21 100000 91115 99980 91095 1669 16882 1478 39983 36133
0.01 0.1 0.01 21 100000 90945 99980 90925 1532 16310 1576 39983 35923
0.01 0.1 0.01 21 100000 90922 99980 90902 1719 16467 1122 39983 35975
0.01 0.1 0.05 21 100000 94944 99980 94924 726 7437 2954 39983 36904
0.01 0.1 0.05 21 100000 95380 99980 95360 899 7653 3211 39983 37142
0.01 0.1 0.05 21 100000 95172 99980 95152 801 7598 3230 39983 37081
0.01 0.1 0.05 21 100000 95144 99980 95124 787 7696 3204 39983 37138
0.01 0.1 0.05 21 100000 94996 99980 94976 590 7939 2974 39983 37087
0.01 0.1 0.1 21 100000 99862 99980 99842 302 2936 2422 39983 38193
0.01 0.1 0.1 21 100000 100395 99980 100375 334 2759 2359 39983 38388
0.01 0.1 0.1 21 100000 100058 99980 100038 260 2947 2259 39983 38352
0.01 0.1 0.1 21 100000 100261 99980 100241 328 3128 2520 39983 38501
0.01 0.1 0.1 21 100000 99881 99980 99861 312 2755 2434 39983 38285
0.05 0.01 0.01 21 100000 99950 99980 99930 24849 5629 4678 39983 38810
0.05 0.01 0.01 21 100000 100067 99980 100047 25025 4895 4813 39983 38937
0.05 0.01 0.01 21 100000 100058 99980 100038 23810 4914 4631 39983 38792
0.05 0.01 0.01 21 100000 100077 99980 100057 25237 4846 4829 39983 38809
0.05 0.01 0.01 21 100000 99994 99980 99974 24938 5108 4695 39983 38842
0.05 0.01 0.05 21 100000 103922 99980 103902 11400 2473 9859 39983 39701
0.05 0.01 0.05 21 100000 103914 99980 103894 11605 2634 9765 39983 39893
0.05 0.01 0.05 21 100000 104035 99980 104015 11459 2191 9763 39983 39828
0.05 0.01 0.05 21 100000 103989 99980 103969 11848 2329 10278 39983 39847
0.05 0.01 0.05 21 100000 103846 99980 103826 11739 2446 9674 39983 39821
0.05 0.01 0.1 21 100000 108840 99980 108820 4497 933 7537 39983 40980
0.05 0.01 0.1 21 100000 109213 99980 109193 4503 826 7585 39983 41229
0.05 0.01 0.1 21 100000 109150 99980 109130 4187 801 7390 39983 41146
0.05 0.01 0.1 21 100000 109007 99980 108987 4398 930 7446 39983 41024
0.05 0.01 0.1 21 100000 109061 99980 109041 4048 831 7157 39983 41028
0.05 0.05 0.01 21 100000 95949 99980 95929 10363 10766 1713 39983 37207
0.05 0.05 0.01 21 100000 96098 99980 96078 10249 10962 2012 39983 37288
0.05 0.05 0.01 21 100000 95996 99980 95976 9614 10873 1891 39983 37158
0.05 0.05 0.01 21 100000 95941 99980 95921 10150 9998 2041 39983 37136
0.05 0.05 0.01 21 100000 96046 99980 96026 10425 10863 1855 39983 37224
