p_s p_d d k L L2 K1 K2 E_S E_D E_I f_A_orig f_A_mut
0.01 0.05 0.01 31 1000000 959792 999970 959762 34529 179125 32775 399295 380017
0.01 0.05 0.01 31 1000000 960042 999970 960012 35601 179512 32408 399295 379782
0.01 0.05 0.05 31 1000000 999715 999970 999685 11064 56725 48326 399295 389657
0.01 0.05 0.05 31 1000000 999629 999970 999599 11357 56804 49567 399295 389841
0.01 0.05 0.05 31 1000000 1000474 999970 1000444 11347 55223 48396 399295 390041
0.01 0.05 0.05 31 1000000 999753 999970 999723 11241 55307 48410 399295 389526
0.01 0.05 0.05 31 1000000 999730 999970 999700 10615 55078 49175 399295 389702
0.01 0.05 0.1 31 1000000 1049307 999970 1049277 2599 13931 22659 399295 402072
0.01 0.05 0.1 31 1000000 1049842 999970 1049812 3033 13801 23169 399295 402313
0.01 0.05 0.1 31 1000000 1050569 999970 1050539 2775 13605 22614 399295 402650
0.01 0.05 0.1 31 1000000 1050187 999970 1050157 2665 13201 22158 399295 402564
0.01 0.05 0.1 31 1000000 1049304 999970 1049274 2658 13828 23569 399295 401966
0.01 0.1 0.01 31 1000000 909578 999970 909548 7409 67964 5699 399295 359628
0.01 0.1 0.01 31 1000000 909942 999970 909912 7039 69020 5804 399295 360134
0.01 0.1 0.01 31 1000000 910403 999970 910373 7047 69379 5824 399295 360339
0.01 0.1 0.01 31 1000000 909780 999970 909750 6812 68426 6470 399295 359853
0.01 0.1 0.01 31 1000000 910096 999970 910066 6816 70178 6122 399295 359679
0.01 0.1 0.05 31 1000000 949422 999970 949392 2265 21108 8419 399295 369482
0.01 0.1 0.05 31 1000000 949592 999970 949562 2147 22457 9391 399295 369891
0.01 0.1 0.05 31 1000000 950416 999970 950386 2185 21460 8936 399295 370072
0.01 0.1 0.05 31 1000000 949906 999970 949876 2206 21603 9044 399295 369689
0.01 0.1 0.05 31 1000000 949824 999970 949794 1770 21599 9012 399295 370058
0.01 0.1 0.1 31 1000000 999014 999970 998984 592 5043 3811 399295 381897
0.01 0.1 0.1 31 1000000 1000004 999970 999974 716 5578 4173 399295 382457
0.01 0.1 0.1 31 1000000 1000487 999970 1000457 540 5070 4121 399295 382641
0.01 0.1 0.1 31 1000000 1000235 999970 1000205 446 4905 4135 399295 382572
0.01 0.1 0.1 31 1000000 999347 999970 999317 524 5185 4122 399295 381947
0.05 0.01 0.01 31 1000000 999983 999970 999953 179280 34798 32488 399295 387829
0.05 0.01 0.01 31 1000000 1000031 999970 1000001 180690 35317 32511 399295 387911
0.05 0.01 0.01 31 1000000 1000098 999970 1000068 178375 36572 33221 399295 387724
0.05 0.01 0.01 31 1000000 1000041 999970 1000011 178232 35812 32966 399295 387943
0.05 0.01 0.01 31 1000000 999691 999970 999661 178656 37015 32922 399295 387775
0.05 0.01 0.05 31 1000000 1039827 999970 1039797 56742 11047 48326 399295 397663
0.05 0.01 0.05 31 1000000 1040028 999970 1039998 56083 11182 47928 399295 397821
0.05 0.01 0.05 31 1000000 1040504 999970 1040474 54959 11084 49700 399295 398252
0.05 0.01 0.05 31 1000000 1039832 999970 1039802 55723 11198 47872 399295 397797
0.05 0.01 0.05 31 1000000 1040026 999970 1039996 55457 11290 49007 399295 397792
0.05 0.01 0.1 31 1000000 1089419 999970 1089389 13617 2913 22659 399295 410172
0.05 0.01 0.1 31 1000000 1089974 999970 1089944 14124 2744 22671 399295 410115
0.05 0.01 0.1 31 1000000 1090287 999970 1090257 14158 2679 22720 399295 410318
0.05 0.01 0.1 31 1000000 1089861 999970 1089831 13833 2527 22518 399295 410413
0.05 0.01 0.1 31 1000000 1089274 999970 1089244 13991 2976 23600 399295 410379
0.05 0.05 0.01 31 1000000 959867 999970 959837 48094 48009 8017 399295 371727
0.05 0.05 0.01 31 1000000 959986 999970 959956 48717 48960 8150 399295 371818
0.05 0.05 0.01 31 1000000 960062 999970 960032 48757 49240 9018 399295 371808
0.05 0.05 0.01 31 1000000 960140 999970 960110 48572 47173 8938 399295 372164
0.05 0.05 0.01 31 1000000 960012 999970 959982 48193 49022 9125 399295 372053
0.05 0.05 0.05 31 1000000 999711 999970 999681 14810 15231 12419 399295 381561
0.05 0.05 0.05 31 1000000 1000268 999970 1000238 15598 15258 12522 399295 381826
0.05 0.05 0.05 31 1000000 1000541 999970 1000511 14814 14924 12872 399295 382154
0.05 0.05 0.05 31 1000000 999946 999970 999916 15003 14877 12413 399295 381909
0.05 0.05 0.05 31 1000000 1000265 999970 1000235 15347 15374 12670 399295 381871
0.05 0.05 0.1 31 1000000 1049303 999970 1049273 3463 3817 5589 399295 394070
0.05 0.05 0.1 31 1000000 1049903 999970 1049873 3746 3921 5854 399295 394215
0.05 0.05 0.1 31 1000000 1050322 999970 1050292 3704 3911 5680 399295 394339
0.05 0.05 0.1 31 1000000 1050013 999970 1049983 3783 3901 6215 399295 394612
0.05 0.05 0.1 31 1000000 1049377 999970 1049347 4020 3507 6034 399295 394381
0.05 0.1 0.01 31 1000000 909901 999970 909871 8444 17243 1536 399295 351859
0.05 0.1 0.01 31 1000000 909813 999970 909783 8318 17729 1633 399295 351682
0.05 0.1 0.01 31 1000000 909720 999970 909690 8618 17347 1539 399295 351855
0.05 0.1 0.01 31 1000000 910076 999970 910046 8760 17575 1508 399295 352293
0.05 0.1 0.01 31 1000000 909975 999970 909945 8406 17684 1745 399295 351920
0.05 0.1 0.05 31 1000000 949745 999970 949715 2644 5277 2156 399295 361693
0.05 0.1 0.05 31 1000000 950078 999970 950048 2758 5360 2041 399295 361764
0.05 0.1 0.05 31 1000000 950217 999970 950187 2538 5323 2456 399295 362197
0.05 0.1 0.05 31 1000000 949600 999970 949570 2552 5676 2121 399295 361748
0.05 0.1 0.05 31 1000000 949882 999970 949852 2874 5571 2077 399295 361799
0.05 0.1 0.1 31 1000000 999337 999970 999307 604 1328 838 399295 374202
0.05 0.1 0.1 31 1000000 999725 999970 999695 582 1423 963 399295 374287
0.05 0.1 0.1 31 1000000 1000009 999970 999979 671 1487 1037 399295 374114
0.05 0.1 0.1 31 1000000 999675 999970 999645 676 1487 984 399295 374502
0.05 0.1 0.1 31 1000000 999274 999970 999244 676 1395 963 399295 374444
0.1 0.01 0.01 31 1000000 999885 999970 999855 67956 7417 5699 399295 377640
0.1 0.01 0.01 31 1000000 1000026 999970 999996 69208 7527 5963 399295 377823
0.1 0.01 0.01 31 1000000 999909 999970 999879 68763 7276 5861 399295 377960
0.1 0.01 0.01 31 1000000 999979 999970 999949 71076 6941 6315 399295 378043
0.1 0.01 0.01 31 1000000 999669 999970 999639 69073 7478 6369 399295 377688
0.1 0.01 0.05 31 1000000 1039729 999970 1039699 21323 2050 8419 399295 387451
0.1 0.01 0.05 31 1000000 1039626 999970 1039596 22139 2296 9407 399295 387795
0.1 0.01 0.05 31 1000000 1040046 999970 1040016 21707 2162 9056 399295 387950
0.1 0.01 0.05 31 1000000 1039974 999970 1039944 21554 2222 8714 399295 387687
0.1 0.01 0.05 31 1000000 1040024 999970 1039994 22196 2186 9230 399295 387842
0.1 0.01 0.1 31 1000000 1089321 999970 1089291 5168 467 3811 399295 400054
0.1 0.01 0.1 31 1000000 1089760 999970 1089730 5792 510 4116 399295 400531
0.1 0.01 0.1 31 1000000 1090224 999970 1090194 5352 445 4140 399295 400416
0.1 0.01 0.1 31 1000000 1090483 999970 1090453 5044 609 4259 399295 400390
0.1 0.01 0.1 31 1000000 1089065 999970 1089035 5399 536 4199 399295 400089
0.1 0.05 0.01 31 1000000 960096 999970 960066 16930 8757 1536 399295 361845
0.1 0.05 0.01 31 1000000 959834 999970 959804 16864 9137 1600 399295 361754
0.1 0.05 0.01 31 1000000 959824 999970 959794 18094 8714 1417 399295 361943
0.1 0.05 0.01 31 1000000 959682 999970 959652 17681 8951 1465 399295 361876
0.1 0.05 0.01 31 1000000 959794 999970 959764 16735 9270 1632 399295 361790
0.1 0.05 0.05 31 1000000 999940 999970 999910 5233 2688 2156 399295 371656
0.1 0.05 0.05 31 1000000 999461 999970 999431 5333 2934 2180 399295 371797
0.1 0.05 0.05 31 1000000 999958 999970 999928 5847 2726 2266 399295 371896
0.1 0.05 0.05 31 1000000 999639 999970 999609 5217 2920 2130 399295 371600
0.1 0.05 0.05 31 1000000 999616 999970 999586 5580 2928 2169 399295 371832
0.1 0.05 0.1 31 1000000 1049532 999970 1049502 1204 728 838 399295 384259
0.1 0.05 0.1 31 1000000 1049573 999970 1049543 1446 645 934 399295 384334
0.1 0.05 0.1 31 1000000 1050034 999970 1050004 1296 599 1105 399295 384566
0.1 0.05 0.1 31 1000000 1050148 999970 1050118 1328 748 985 399295 384305
0.1 0.05 0.1 31 1000000 1049088 999970 1049058 1407 713 985 399295 384165
0.1 0.1 0.01 31 1000000 909975 999970 909945 2758 2482 203 399295 341881
0.1 0.1 0.01 31 1000000 910277 999970 910247 2660 2836 211 399295 341838
0.1 0.1 0.01 31 1000000 910000 999970 909970 3026 2793 234 399295 341986
0.1 0.1 0.01 31 1000000 909487 999970 909457 2626 2860 226 399295 341797
0.1 0.1 0.01 31 1000000 909244 999970 909214 2793 2797 297 399295 341505
0.1 0.1 0.05 31 1000000 949819 999970 949789 798 764 346 399295 351692
0.1 0.1 0.05 31 1000000 949941 999970 949911 771 948 289 399295 352202
0.1 0.1 0.05 31 1000000 950064 999970 950034 1026 802 338 399295 351969
0.1 0.1 0.05 31 1000000 949438 999970 949408 793 849 261 399295 351593
0.1 0.1 0.05 31 1000000 949824 999970 949794 956 880 291 399295 352095
0.1 0.1 0.1 31 1000000 999411 999970 999381 170 239 123 399295 364295
0.1 0.1 0.1 31 1000000 999869 999970 999839 264 289 176 399295 364586
0.1 0.1 0.1 31 1000000 999912 999970 999882 174 206 146 399295 364544
0.1 0.1 0.1 31 1000000 1000606 999970 1000576 271 281 166 399295 364400
0.1 0.1 0.1 31 1000000 998638 999970 998608 192 249 183 399295 364258
0.01 0.01 0.01 41 10000 9989 9960 9949 1203 1371 1202 4029 3984
0.01 0.01 0.01 41 10000 9988 9960 9948 1411 1480 1033 4029 3987
0.01 0.01 0.01 41 10000 10017 9960 9977 1387 820 1257 4029 4005
0.01 0.01 0.01 41 10000 10008 9960 9968 1155 986 963 4029 3988
0.01 0.01 0.01 41 10000 10006 9960 9966 1171 1130 1344 4029 4006
0.01 0.01 0.05 41 10000 10410 9960 10370 202 296 1011 4029 4082
0.01 0.01 0.05 41 10000 10368 9960 10328 175 251 1350 4029 4099
0.01 0.01 0.05 41 10000 10405 9960 10365 310 251 1256 4029 4102
0.01 0.01 0.05 41 10000 10429 9960 10389 136 240 1134 4029 4090
0.01 0.01 0.05 41 10000 10400 9960 10360 315 270 1283 4029 4112
0.01 0.01 0.1 41 10000 10903 9960 10863 23 59 406 4029 4206
0.01 0.01 0.1 41 10000 10861 9960 10821 65 69 372 4029 4214
0.01 0.01 0.1 41 10000 10910 9960 10870 25 29 342 4029 4232
0.01 0.01 0.1 41 10000 10926 9960 10886 19 73 356 4029 4236
0.01 0.01 0.1 41 10000 10934 9960 10894 47 30 369 4029 4216
0.01 0.05 0.01 41 10000 9542 9960 9502 112 1018 160 4029 3796
0.01 0.05 0.01 41 10000 9568 9960 9528 281 986 147 4029 3836
0.01 0.05 0.01 41 10000 9611 9960 9571 402 1240 245 4029 3843
0.01 0.05 0.01 41 10000 9605 9960 9565 349 1099 162 4029 3807
0.01 0.05 0.01 41 10000 9612 9960 9572 189 1266 168 4029 3860
0.01 0.05 0.05 41 10000 9963 9960 9923 28 216 200 4029 3894
0.01 0.05 0.05 41 10000 9990 9960 9950 26 321 352 4029 3944
0.01 0.05 0.05 41 10000 10001 9960 9961 100 298 199 4029 3945
0.01 0.05 0.05 41 10000 10019 9960 9979 22 199 223 4029 3914
0.01 0.05 0.05 41 10000 10011 9960 9971 49 254 202 4029 3965
0.01 0.05 0.1 41 10000 10456 9960 10416 0 31 38 4029 4018
0.01 0.05 0.1 41 10000 10440 9960 10400 2 64 54 4029 4044
0.01 0.05 0.1 41 10000 10500 9960 10460 2 50 60 4029 4064
0.01 0.05 0.1 41 10000 10506 9960 10466 0 16 46 4029 4056
0.01 0.05 0.1 41 10000 10549 9960 10509 21 19 121 4029 4062
0.01 0.1 0.01 41 10000 9006 9960 8966 5 192 30 4029 3592
0.01 0.1 0.01 41 10000 9046 9960 9006 35 279 9 4029 3636
0.01 0.1 0.01 41 10000 9100 9960 9060 10 272 1 4029 3623
0.01 0.1 0.01 41 10000 9070 9960 9030 38 257 20 4029 3598
0.01 0.1 0.01 41 10000 9120 9960 9080 29 319 9 4029 3663
0.01 0.1 0.05 41 10000 9427 9960 9387 0 84 16 4029 3690
0.01 0.1 0.05 41 10000 9474 9960 9434 1 29 18 4029 3737
0.01 0.1 0.05 41 10000 9500 9960 9460 0 36 1 4029 3755
0.01 0.1 0.05 41 10000 9507 9960 9467 0 39 9 4029 3713
0.01 0.1 0.05 41 10000 9522 9960 9482 1 81 7 4029 3771
0.01 0.1 0.1 41 10000 9920 9960 9880 0 23 2 4029 3814
0.01 0.1 0.1 41 10000 9906 9960 9866 0 5 9 4029 3824
0.01 0.1 0.1 41 10000 9995 9960 9955 0 9 19 4029 3842
0.01 0.1 0.1 41 10000 10008 9960 9968 0 5 2 4029 3838
0.01 0.1 0.1 41 10000 10044 9960 10004 1 15 3 4029 3852
0.05 0.01 0.01 41 10000 9995 9960 9955 850 280 160 4029 3879
0.05 0.01 0.01 41 10000 9992 9960 9952 1077 249 147 4029 3908
0.05 0.01 0.01 41 10000 9990 9960 9950 1387 237 281 4029 3924
0.05 0.01 0.01 41 10000 10011 9960 9971 1128 99 202 4029 3930
0.05 0.01 0.01 41 10000 9989 9960 9949 1259 232 136 4029 3908
0.05 0.01 0.05 41 10000 10416 9960 10376 170 74 200 4029 3978
0.05 0.01 0.05 41 10000 10391 9960 10351 173 131 151 4029 4051
0.05 0.01 0.05 41 10000 10367 9960 10327 352 20 209 4029 4046
0.05 0.01 0.05 41 10000 10416 9960 10376 265 10 171 4029 3994
0.05 0.01 0.05 41 10000 10416 9960 10376 209 73 196 4029 3996
0.05 0.01 0.1 41 10000 10909 9960 10869 24 7 38 4029 4093
0.05 0.01 0.1 41 10000 10888 9960 10848 11 7 112 4029 4135
0.05 0.01 0.1 41 10000 10865 9960 10825 57 2 71 4029 4114
0.05 0.01 0.1 41 10000 10927 9960 10887 16 0 40 4029 4129
0.05 0.01 0.1 41 10000 10956 9960 10916 32 3 151 4029 4156
0.05 0.05 0.01 41 10000 9567 9960 9527 104 182 34 4029 3726
0.05 0.05 0.01 41 10000 9561 9960 9521 267 164 9 4029 3736
0.05 0.05 0.01 41 10000 9582 9960 9542 176 234 65 4029 3760
0.05 0.05 0.01 41 10000 9611 9960 9571 163 192 24 4029 3767
0.05 0.05 0.01 41 10000 9559 9960 9519 147 186 30 4029 3748
0.05 0.05 0.05 41 10000 9988 9960 9948 42 74 21 4029 3825
0.05 0.05 0.05 41 10000 9957 9960 9917 48 28 38 4029 3870
0.05 0.05 0.05 41 10000 9961 9960 9921 19 67 23 4029 3881
0.05 0.05 0.05 41 10000 9985 9960 9945 40 41 14 4029 3822
0.05 0.05 0.05 41 10000 9999 9960 9959 12 93 17 4029 3818
0.05 0.05 0.1 41 10000 10481 9960 10441 6 17 2 4029 3940
0.05 0.05 0.1 41 10000 10474 9960 10434 5 0 3 4029 3974
0.05 0.05 0.1 41 10000 10470 9960 10430 0 3 10 4029 3960
0.05 0.05 0.1 41 10000 10542 9960 10502 5 2 10 4029 3975
0.05 0.05 0.1 41 10000 10559 9960 10519 1 12 8 4029 3993
0.05 0.1 0.01 41 10000 9073 9960 9033 11 35 0 4029 3525
0.05 0.1 0.01 41 10000 9073 9960 9033 37 41 0 4029 3553
0.05 0.1 0.01 41 10000 9067 9960 9027 45 46 2 4029 3568
0.05 0.1 0.01 41 10000 9098 9960 9058 2 31 0 4029 3539
0.05 0.1 0.01 41 10000 9082 9960 9042 24 13 1 4029 3555
0.05 0.1 0.05 41 10000 9494 9960 9454 0 23 6 4029 3624
0.05 0.1 0.05 41 10000 9462 9960 9422 18 15 13 4029 3677
0.05 0.1 0.05 41 10000 9447 9960 9407 8 10 1 4029 3664
0.05 0.1 0.05 41 10000 9453 9960 9413 5 4 1 4029 3605
0.05 0.1 0.05 41 10000 9503 9960 9463 0 7 0 4029 3608
0.05 0.1 0.1 41 10000 9987 9960 9947 0 6 0 4029 3739
0.05 0.1 0.1 41 10000 9976 9960 9936 2 0 2 4029 3782
0.05 0.1 0.1 41 10000 9955 9960 9915 0 2 0 4029 3748
0.05 0.1 0.1 41 10000 10030 9960 9990 0 0 10 4029 3761
0.05 0.1 0.1 41 10000 10066 9960 10026 0 3 0 4029 3804
0.1 0.01 0.01 41 10000 9986 9960 9946 182 15 30 4029 3789
0.1 0.01 0.01 41 10000 9993 9960 9953 247 30 9 4029 3795
0.1 0.01 0.01 41 10000 10012 9960 9972 234 30 2 4029 3797
0.1 0.01 0.01 41 10000 10005 9960 9965 225 29 33 4029 3808
0.1 0.01 0.01 41 10000 10008 9960 9968 231 16 28 4029 3808
0.1 0.01 0.05 41 10000 10407 9960 10367 81 3 16 4029 3883
0.1 0.01 0.05 41 10000 10395 9960 10355 45 0 32 4029 3957
0.1 0.01 0.05 41 10000 10391 9960 10351 60 5 6 4029 3908
0.1 0.01 0.05 41 10000 10414 9960 10374 73 0 4 4029 3924
0.1 0.01 0.05 41 10000 10436 9960 10396 80 11 5 4029 3937
0.1 0.01 0.1 41 10000 10900 9960 10860 23 0 2 4029 4008
0.1 0.01 0.1 41 10000 10894 9960 10854 6 0 2 4029 4051
0.1 0.01 0.1 41 10000 10933 9960 10893 17 0 6 4029 4035
0.1 0.01 0.1 41 10000 10906 9960 10866 15 0 21 4029 4021
0.1 0.01 0.1 41 10000 10890 9960 10850 4 1 2 4029 4050
0.1 0.05 0.01 41 10000 9600 9960 9560 45 1 0 4029 3639
0.1 0.05 0.01 41 10000 9597 9960 9557 35 23 0 4029 3642
0.1 0.05 0.01 41 10000 9597 9960 9557 55 26 2 4029 3636
0.1 0.05 0.01 41 10000 9608 9960 9568 2 11 3 4029 3643
0.1 0.05 0.01 41 10000 9627 9960 9587 31 15 0 4029 3664
0.1 0.05 0.05 41 10000 10021 9960 9981 23 0 6 4029 3733
0.1 0.05 0.05 41 10000 9999 9960 9959 23 6 19 4029 3798
0.1 0.05 0.05 41 10000 9973 9960 9933 9 5 1 4029 3762
0.1 0.05 0.05 41 10000 10006 9960 9966 17 0 0 4029 3776
0.1 0.05 0.05 41 10000 10035 9960 9995 7 9 0 4029 3784
0.1 0.05 0.1 41 10000 10514 9960 10474 6 0 0 4029 3858
0.1 0.05 0.1 41 10000 10491 9960 10451 6 0 2 4029 3884
0.1 0.05 0.1 41 10000 10515 9960 10475 8 0 0 4029 3877
0.1 0.05 0.1 41 10000 10496 9960 10456 10 0 8 4029 3846
0.1 0.05 0.1 41 10000 10508 9960 10468 0 1 0 4029 3894
0.1 0.1 0.01 41 10000 9094 9960 9054 5 12 0 4029 3444
0.1 0.1 0.01 41 10000 9109 9960 9069 6 9 0 4029 3448
0.1 0.1 0.01 41 10000 9118 9960 9078 2 7 1 4029 3436
0.1 0.1 0.01 41 10000 9100 9960 9060 0 0 3 4029 3443
0.1 0.1 0.01 41 10000 9128 9960 9088 1 1 0 4029 3469
0.1 0.1 0.05 41 10000 9515 9960 9475 0 6 0 4029 3538
0.1 0.1 0.05 41 10000 9513 9960 9473 6 1 6 4029 3621
0.1 0.1 0.05 41 10000 9476 9960 9436 0 6 0 4029 3556
0.1 0.1 0.05 41 10000 9531 9960 9491 13 0 0 4029 3583
0.1 0.1 0.05 41 10000 9559 9960 9519 0 4 0 4029 3601
0.1 0.1 0.1 41 10000 10008 9960 9968 0 2 0 4029 3663
0.1 0.1 0.1 41 10000 9977 9960 9937 6 0 0 4029 3670
0.1 0.1 0.1 41 10000 9999 9960 9959 8 0 0 4029 3655
0.1 0.1 0.1 41 10000 10011 9960 9971 0 7 0 4029 3649
0.1 0.1 0.1 41 10000 10012 9960 9972 0 1 0 4029 3673
0.01 0.01 0.01 41 100000 99996 99960 99956 12464 11869 11658 39983 39595
0.01 0.01 0.01 41 100000 99989 99960 99949 12281 12372 11546 39983 39703
0.01 0.01 0.01 41 100000 100032 99960 99992 12810 12489 11450 39983 39639
0.01 0.01 0.01 41 100000 100037 99960 99997 11724 12383 12058 39983 39610
0.01 0.01 0.01 41 100000 99943 99960 99903 12842 12499 10698 39983 39565
0.01 0.01 0.05 41 100000 103968 99960 103928 2608 2567 12298 39983 40563
0.01 0.01 0.05 41 100000 104187 99960 104147 2483 2329 11951 39983 40661
0.01 0.01 0.05 41 100000 104085 99960 104045 2824 2642 11675 39983 40623
0.01 0.01 0.05 41 100000 104008 99960 103968 2660 2446 11758 39983 40685
0.01 0.01 0.05 41 100000 103975 99960 103935 2348 2836 12146 39983 40668
0.01 0.01 0.1 41 100000 108886 99960 108846 501 340 3823 39983 41852
0.01 0.01 0.1 41 100000 109230 99960 109190 422 399 3002 39983 41940
0.01 0.01 0.1 41 100000 109086 99960 109046 485 386 3230 39983 41912
0.01 0.01 0.1 41 100000 109081 99960 109041 305 310 3596 39983 41918
0.01 0.01 0.1 41 100000 108934 99960 108894 400 376 3592 39983 41896
0.01 0.05 0.01 41 100000 95992 99960 95952 2495 11835 2172 39983 37978
0.01 0.05 0.01 41 100000 95938 99960 95898 2052 11561 2272 39983 38116
0.01 0.05 0.01 41 100000 96047 99960 96007 2307 11223 2092 39983 38052
0.01 0.05 0.01 41 100000 96073 99960 96033 2307 11053 2396 39983 37993
0.01 0.05 0.01 41 100000 95881 99960 95841 2379 11691 1709 39983 37924
0.01 0.05 0.05 41 100000 99964 99960 99924 587 2533 1996 39983 38946
0.01 0.05 0.05 41 100000 100327 99960 100287 556 2176 2426 39983 39082
0.01 0.05 0.05 41 100000 100123 99960 100083 657 2205 2293 39983 39063
0.01 0.05 0.05 41 100000 100118 99960 100078 470 2267 2319 39983 39125
0.01 0.05 0.05 41 100000 99970 99960 99930 330 2554 2176 39983 39019
0.01 0.05 0.1 41 100000 104882 99960 104842 153 352 561 39983 40235
0.01 0.05 0.1 41 100000 105364 99960 105324 63 281 582 39983 40368
0.01 0.05 0.1 41 100000 105102 99960 105062 80 330 721 39983 40370
0.01 0.05 0.1 41 100000 105213 99960 105173 76 396 658 39983 40496
0.01 0.05 0.1 41 100000 104900 99960 104860 136 437 689 39983 40300
0.01 0.1 0.01 41 100000 90972 99960 90932 320 2539 208 39983 35936
0.01 0.1 0.01 41 100000 90793 99960 90753 221 2318 196 39983 36055
0.01 0.1 0.01 41 100000 91115 99960 91075 230 3075 235 39983 36133
0.01 0.1 0.01 41 100000 90945 99960 90905 279 2200 304 39983 35923
0.01 0.1 0.01 41 100000 90922 99960 90882 243 3094 112 39983 35975
0.01 0.1 0.05 41 100000 94944 99960 94904 93 527 157 39983 36904
0.01 0.1 0.05 41 100000 95380 99960 95340 77 348 195 39983 37142
0.01 0.1 0.05 41 100000 95172 99960 95132 75 640 254 39983 37081
0.01 0.1 0.05 41 100000 95144 99960 95104 35 531 209 39983 37138
0.01 0.1 0.05 41 100000 94996 99960 94956 9 599 113 39983 37087
0.01 0.1 0.1 41 100000 99862 99960 99822 9 69 46 39983 38193
0.01 0.1 0.1 41 100000 100395 99960 100355 1 33 37 39983 38388
0.01 0.1 0.1 41 100000 100058 99960 100018 4 52 15 39983 38352
0.01 0.1 0.1 41 100000 100261 99960 100221 1 71 35 39983 38501
0.01 0.1 0.1 41 100000 99881 99960 99841 0 157 83 39983 38285
0.05 0.01 0.01 41 100000 99950 99960 99910 11616 2714 2172 39983 38810
0.05 0.01 0.01 41 100000 100067 99960 100027 11442 2577 2437 39983 38937
0.05 0.01 0.01 41 100000 100058 99960 100018 11364 2258 2116 39983 38792
0.05 0.01 0.01 41 100000 100077 99960 100037 11421 2003 2503 39983 38809
0.05 0.01 0.01 41 100000 99994 99960 99954 11971 2300 2121 39983 38842
0.05 0.01 0.05 41 100000 103922 99960 103882 2550 570 1996 39983 39701
0.05 0.01 0.05 41 100000 103914 99960 103874 2493 575 2198 39983 39893
0.05 0.01 0.05 41 100000 104035 99960 103995 2478 392 2253 39983 39828
0.05 0.01 0.05 41 100000 103989 99960 103949 2312 549 2316 39983 39847
0.05 0.01 0.05 41 100000 103846 99960 103806 2818 678 2060 39983 39821
0.05 0.01 0.1 41 100000 108840 99960 108800 413 92 561 39983 40980
0.05 0.01 0.1 41 100000 109213 99960 109173 255 101 582 39983 41229
0.05 0.01 0.1 41 100000 109150 99960 109110 312 59 733 39983 41146
0.05 0.01 0.1 41 100000 109007 99960 108967 307 52 636 39983 41024
0.05 0.01 0.1 41 100000 109061 99960 109021 326 46 653 39983 41028
0.05 0.05 0.01 41 100000 95949 99960 95909 2001 2214 281 39983 37207
0.05 0.05 0.01 41 100000 96098 99960 96058 1810 2124 390 39983 37288
0.05 0.05 0.01 41 100000 95996 99960 95956 1663 1860 421 39983 37158
0.05 0.05 0.01 41 100000 95941 99960 95901 1818 1639 479 39983 37136
0.05 0.05 0.01 41 100000 96046 99960 96006 2254 2170 371 39983 37224
0.05 0.05 0.05 41 100000 99921 99960 99881 455 462 328 39983 38098
0.05 0.05 0.05 41 100000 99742 99960 99702 432 448 360 39983 38216
0.05 0.05 0.05 41 100000 100041 99960 100001 475 440 409 39983 38284
0.05 0.05 0.05 41 100000 100068 99960 100028 402 388 342 39983 38293
0.05 0.05 0.05 41 100000 99858 99960 99818 443 571 397 39983 38175
0.05 0.05 0.1 41 100000 104839 99960 104799 57 77 104 39983 39377
0.05 0.05 0.1 41 100000 105225 99960 105185 54 59 81 39983 39621
0.05 0.05 0.1 41 100000 105112 99960 105072 56 35 36 39983 39529
0.05 0.05 0.1 41 100000 104907 99960 104867 59 60 142 39983 39365
0.05 0.05 0.1 41 100000 105110 99960 105070 41 90 81 39983 39499
0.05 0.1 0.01 41 100000 91063 99960 91023 251 444 28 39983 35173
0.05 0.1 0.01 41 100000 91214 99960 91174 239 503 15 39983 35308
0.05 0.1 0.01 41 100000 91055 99960 91015 117 333 17 39983 35263
0.05 0.1 0.01 41 100000 90950 99960 90910 173 332 88 39983 35128
0.05 0.1 0.01 41 100000 91026 99960 90986 237 392 21 39983 35159
0.05 0.1 0.05 41 100000 95035 99960 94995 73 96 10 39983 36064
0.05 0.1 0.05 41 100000 94718 99960 94678 24 78 47 39983 36206
0.05 0.1 0.05 41 100000 95113 99960 95073 39 87 29 39983 36261
0.05 0.1 0.05 41 100000 94855 99960 94815 28 42 25 39983 36199
0.05 0.1 0.05 41 100000 94812 99960 94772 56 162 65 39983 36223
0.05 0.1 0.1 41 100000 99953 99960 99913 1 12 10 39983 37343
0.05 0.1 0.1 41 100000 100307 99960 100267 11 18 0 39983 37664
0.05 0.1 0.1 41 100000 100106 99960 100066 14 18 3 39983 37534
0.05 0.1 0.1 41 100000 99865 99960 99825 3 31 9 39983 37371
0.05 0.1 0.1 41 100000 100194 99960 100154 1 20 6 39983 37577
0.1 0.01 0.01 41 100000 99972 99960 99932 2568 291 208 39983 37705
0.1 0.01 0.01 41 100000 100046 99960 100006 2159 319 195 39983 37824
0.1 0.01 0.01 41 100000 100079 99960 100039 1993 202 260 39983 37874
0.1 0.01 0.01 41 100000 99950 99960 99910 2793 240 274 39983 37866
0.1 0.01 0.01 41 100000 99901 99960 99861 2944 348 176 39983 37811
0.1 0.01 0.05 41 100000 103944 99960 103904 585 35 157 39983 38644
0.1 0.01 0.05 41 100000 104152 99960 104112 376 66 181 39983 38983
0.1 0.01 0.05 41 100000 104111 99960 104071 457 14 211 39983 38779
