p_s p_d d S D I K1 K2 k S_k_half S_norm D_norm, I_norm
0.01 0.01 0.04 538 581 2671 9980 10318 21 532 0.00256703883958393 0.002772211088844355 0.013381763527054108
0.01 0.01 0.05 444 447 2307 9980 10409 21 575 0.002118522759805325 0.0021328371027769825 0.01155811623246493
0.01 0.01 0.05 612 550 2496 9980 10389 21 601 0.0029201259662181506 0.00262429621147056 0.01250501002004008
0.01 0.01 0.05 631 514 2317 9980 10379 21 665 0.0030107834717053154 0.002452524095810669 0.011608216432865732
0.01 0.01 0.05 558 465 2456 9980 10378 21 584 0.002662467792728314 0.002218723160606928 0.012304609218436874
0.01 0.01 0.05 620 445 2263 9980 10387 21 626 0.0029582975474759044 0.002123294207462544 0.011337675350701402
0.01 0.01 0.05 523 622 2073 9980 10378 21 534 0.0024954671247256416 0.0029678404427903424 0.010385771543086172
0.01 0.01 0.05 525 571 2510 9980 10388 21 550 0.00250501002004008 0.0027244966122721634 0.012575150300601202
0.01 0.01 0.05 562 520 2233 9980 10390 21 623 0.0026815535833571904 0.002481152781753984 0.011187374749498998
0.01 0.01 0.05 363 515 2158 9980 10369 21 419 0.0017320354995705696 0.0024572955434678883 0.010811623246492985
0.01 0.01 0.05 467 673 2113 9980 10353 21 460 0.0022282660559213665 0.003211184273308522 0.010586172344689379
0.01 0.01 0.05 507 542 2679 9980 10380 21 476 0.0024191239622101345 0.0025861246302128064 0.01342184368737475
0.01 0.01 0.05 470 702 2377 9980 10342 21 547 0.002242580398893024 0.003349556255367879 0.011908817635270541
0.01 0.01 0.05 603 363 2409 9980 10380 21 636 0.0028771829373031776 0.0017320354995705696 0.012069138276553107
0.01 0.01 0.05 591 508 2447 9980 10407 21 534 0.0028199255654165474 0.0024238954098673537 0.012259519038076152
0.01 0.01 0.05 474 676 2082 9980 10314 21 503 0.002261666189521901 0.0032254986162801795 0.010430861723446894
0.01 0.01 0.05 601 564 2332 9980 10389 21 640 0.002867640041988739 0.002691096478671629 0.011683366733466934
0.01 0.01 0.05 391 538 2419 9980 10382 21 387 0.0018656360339727074 0.00256703883958393 0.012119238476953908
0.01 0.01 0.05 524 664 2410 9980 10352 21 601 0.002500238572382861 0.003168241244393549 0.012074148296593186
0.01 0.01 0.05 533 604 2322 9980 10384 21 490 0.002543181601297834 0.002881954384960397 0.011633266533066133
0.01 0.01 0.05 452 531 2624 9980 10421 21 532 0.0021566943410630786 0.0025336387059833954 0.013146292585170341
0.01 0.02 0.01 864 1957 894 9980 9875 21 784 0.004122530775837389 0.009337723065177975 0.0044789579158316635
0.01 0.02 0.01 1068 1901 807 9980 9878 21 797 0.005095906097910106 0.0090705219963737 0.004043086172344689
0.01 0.02 0.01 998 1973 693 9980 9881 21 754 0.004761904761904762 0.009414066227693483 0.003471943887775551
0.01 0.02 0.01 966 1941 857 9980 9893 21 798 0.004609218436873747 0.009261379902662467 0.0042935871743486976
0.01 0.02 0.01 778 1741 900 9980 9900 21 640 0.003712186277316538 0.008307090371218628 0.0045090180360721445
0.01 0.02 0.01 793 2000 843 9980 9847 21 611 0.003783757992174826 0.0095428953144384 0.004223446893787575
0.01 0.02 0.01 1107 1754 955 9980 9913 21 861 0.005281992556541655 0.008369119190762477 0.004784569138276553
0.01 0.02 0.01 872 1832 958 9980 9887 21 667 0.004160702357095143 0.008741292108025576 0.004799599198396794
0.01 0.02 0.01 1041 1678 1001 9980 9915 21 805 0.004967077011165187 0.008006489168813817 0.0050150300601202406
0.01 0.02 0.01 795 1786 943 9980 9893 21 581 0.0037933008874892643 0.008521805515793492 0.004724448897795591
0.01 0.02 0.01 838 1991 1074 9980 9890 21 652 0.0039984731367496895 0.009499952285523429 0.005380761523046092
0.01 0.02 0.01 967 1881 749 9980 9887 21 798 0.0046139898845309665 0.008975093043229316 0.00375250501002004
0.01 0.02 0.01 1077 1968 799 9980 9893 21 805 0.005138849126825079 0.009390208989407386 0.004003006012024048
0.01 0.02 0.01 1054 1719 893 9980 9902 21 738 0.005029105830709037 0.008202118522759805 0.004473947895791583
0.01 0.02 0.01 898 1956 846 9980 9869 21 665 0.004284759996182842 0.009332951617520756 0.004238476953907815
0.01 0.02 0.01 1010 1642 851 9980 9874 21 815 0.004819162133791392 0.007834717053153927 0.004263527054108217
0.01 0.02 0.01 890 2051 848 9980 9852 21 685 0.004246588414925088 0.00978623914495658 0.004248496993987976
0.01 0.02 0.01 945 1925 924 9980 9882 21 749 0.0045090180360721445 0.00918503674014696 0.004629258517034068
0.01 0.02 0.01 886 1817 823 9980 9885 21 681 0.004227502624296211 0.008669720393167287 0.004123246492985972
0.01 0.02 0.01 961 2122 708 9980 9875 21 744 0.004585361198587651 0.010125011928619143 0.0035470941883767536
0.01 0.02 0.02 628 1558 1576 9980 10011 21 686 0.0029964691287336577 0.007433915449947514 0.007895791583166332
0.01 0.02 0.02 838 1599 1264 9980 9982 21 702 0.0039984731367496895 0.0076295448038935015 0.0063326653306613225
0.01 0.02 0.02 825 1694 1464 9980 9986 21 684 0.0039364443172058405 0.008082832331329325 0.007334669338677355
0.01 0.02 0.02 655 1399 1611 9980 10012 21 669 0.0031252982154785763 0.0066752552724496615 0.008071142284569139
0.01 0.02 0.02 818 1480 1396 9980 10007 21 683 0.003903044183605306 0.007061742532684417 0.006993987975951904
0.01 0.02 0.02 680 1603 1527 9980 9955 21 574 0.0032445844069090564 0.007648630594522378 0.007650300601202405
0.01 0.02 0.02 874 1337 1530 9980 10025 21 755 0.0041702452524095815 0.006379425517702071 0.007665330661322646
0.01 0.02 0.02 763 1476 1427 9980 9984 21 619 0.00364061456245825 0.00704265674205554 0.007149298597194389
0.01 0.02 0.02 642 1667 1205 9980 9946 21 568 0.0030632693959347264 0.007954003244584408 0.006037074148296593
0.01 0.02 0.02 817 1362 1558 9980 10009 21 684 0.0038982727359480867 0.006498711709132551 0.007805611222444889
0.01 0.02 0.02 660 1681 1686 9980 9983 21 550 0.0031491554537646724 0.008020803511785475 0.00844689378757515
0.01 0.02 0.02 587 1910 1237 9980 9971 21 585 0.0028008397747876705 0.009113465025288673 0.006197394789579158
0.01 0.02 0.02 906 1687 1389 9980 9983 21 751 0.004322931577440596 0.00804943219772879 0.006958917835671343
0.01 0.02 0.02 789 1442 1554 9980 10015 21 647 0.003764672201545949 0.006880427521710087 0.007785571142284569
0.01 0.02 0.02 688 1613 1324 9980 9972 21 624 0.0032827559881668097 0.00769634507109457 0.0066332665330661325
