p_s,p_d,d,S,D,I,K1,k,S_norm,D_norm,I_norm,a,b,c
0.05,0.06,0.02,530,643,144,9980,21,0.002528867,0.003068041,0.000721443,1.67527E-53,0.003068041,0.006318351
0.05,0.06,0.03,431,557,193,9980,21,0.002056494,0.002657696,0.000966934,8.21509E-55,0.002657696,0.005681124
0.05,0.06,0.04,350,497,173,9980,21,0.001670007,0.002371409,0.000866733,7.50132E-56,0.002371409,0.00490815
0.05,0.06,0.05,289,410,180,9980,21,0.001378948,0.001956294,0.000901804,1.3186E-57,0.001956294,0.004237046
0.05,0.06,0.06,224,360,180,9980,21,0.001068804,0.001717721,0.000901804,8.59025E-59,0.001717721,0.003688329
0.05,0.06,0.07,192,318,171,9980,21,0.000916118,0.00151732,0.000856713,6.3478E-60,0.00151732,0.003290152
0.05,0.06,0.08,187,254,180,9980,21,0.000892261,0.001211948,0.000901804,5.6645E-62,0.001211948,0.003006012
0.05,0.06,0.09,174,160,159,9980,21,0.000830232,0.000763432,0.000796593,3.45281E-66,0.000763432,0.002390257
0.05,0.06,0.1,154,128,150,9980,21,0.000734803,0.000610745,0.000751503,3.18466E-68,0.000610745,0.002097051
0.05,0.07,0.01,583,906,38,9980,21,0.002781754,0.004322932,0.000190381,2.24567E-50,0.004322932,0.007295066
0.05,0.07,0.02,423,596,108,9980,21,0.002018322,0.002843783,0.000541082,3.40271E-54,0.002843783,0.005403187
0.05,0.07,0.03,361,507,145,9980,21,0.001722493,0.002419124,0.000726453,1.13978E-55,0.002419124,0.004868069
0.05,0.07,0.04,285,449,143,9980,21,0.001359863,0.00214238,0.000716433,8.88846E-57,0.00214238,0.004218675
0.05,0.07,0.05,240,379,148,9980,21,0.001145147,0.001808379,0.000741483,2.52975E-58,0.001808379,0.003695009
0.05,0.07,0.06,195,333,157,9980,21,0.000930432,0.001588892,0.000786573,1.67102E-59,0.001588892,0.003305898
0.05,0.07,0.07,168,305,149,9980,21,0.000801603,0.001455292,0.000746493,2.6421E-60,0.001455292,0.003003388
0.05,0.07,0.08,163,251,150,9980,21,0.000777746,0.001197633,0.000751503,4.41369E-62,0.001197633,0.002726882
0.05,0.07,0.09,152,167,130,9980,21,0.00072526,0.000796832,0.000651303,8.48593E-66,0.000796832,0.002173394
0.05,0.07,0.1,135,122,120,9980,21,0.000644145,0.000582117,0.000601202,1.16201E-68,0.000582117,0.001827464
0.05,0.08,0.01,460,860,28,9980,21,0.002194866,0.004103445,0.000140281,7.51832E-51,0.004103445,0.006438591
0.05,0.08,0.02,339,549,78,9980,21,0.001617521,0.002619525,0.000390782,6.06279E-55,0.002619525,0.004627827
0.05,0.08,0.03,302,471,104,9980,21,0.001440977,0.002247352,0.000521042,2.42713E-56,0.002247352,0.004209371
0.05,0.08,0.04,232,417,110,9980,21,0.001106976,0.001989694,0.000551102,1.88153E-57,0.001989694,0.003647772
0.05,0.08,0.05,205,342,99,9980,21,0.000978147,0.001631835,0.000495992,2.92551E-59,0.001631835,0.003105974
0.05,0.08,0.06,167,311,108,9980,21,0.000796832,0.00148392,0.000541082,3.9776E-60,0.00148392,0.002821834
0.05,0.08,0.07,140,271,93,9980,21,0.000668003,0.001293062,0.000465932,2.20805E-61,0.001293062,0.002426997
0.05,0.08,0.08,135,246,108,9980,21,0.000644145,0.001173776,0.000541082,2.89262E-62,0.001173776,0.002359004
0.05,0.08,0.09,128,165,96,9980,21,0.000610745,0.000787289,0.000480962,6.58895E-66,0.000787289,0.001878996
0.05,0.08,0.1,114,115,90,9980,21,0.000543945,0.000548716,0.000450902,3.35976E-69,0.000548716,0.001543563
0.05,0.09,0.01,379,730,17,9980,21,0.001808379,0.003483157,8.52E-05,2.40676E-52,0.003483157,0.005376706
0.05,0.09,0.02,290,473,61,9980,21,0.00138372,0.002256895,0.000305611,2.653E-56,0.002256895,0.003946226
0.05,0.09,0.03,253,384,73,9980,21,0.001207176,0.001832236,0.000365731,3.33126E-58,0.001832236,0.003405144
0.05,0.09,0.04,190,337,86,9980,21,0.000906575,0.001607978,0.000430862,2.14724E-59,0.001607978,0.002945415
0.05,0.09,0.05,170,287,76,9980,21,0.000811146,0.001369405,0.000380762,7.36501E-61,0.001369405,0.002561313
0.05,0.09,0.06,135,261,89,9980,21,0.000644145,0.001245348,0.000445892,1.00255E-61,0.001245348,0.002335385
0.05,0.09,0.07,119,233,74,9980,21,0.000567802,0.001111747,0.000370741,9.2497E-63,0.001111747,0.002050291
0.05,0.09,0.08,114,211,91,9980,21,0.000543945,0.001006775,0.000455912,1.15235E-63,0.001006775,0.002006632
0.05,0.09,0.09,107,135,79,9980,21,0.000510545,0.000644145,0.000395792,9.74232E-68,0.000644145,0.001550482
0.05,0.09,0.1,99,103,72,9980,21,0.000472373,0.000491459,0.000360721,3.32074E-70,0.000491459,0.001324554
0.05,0.1,0.01,327,595,17,9980,21,0.001560263,0.002839011,8.52E-05,3.28481E-54,0.002839011,0.004484445
0.05,0.1,0.02,253,381,43,9980,21,0.001207176,0.001817922,0.000215431,2.82539E-58,0.001817922,0.003240529
0.05,0.1,0.03,224,309,54,9980,21,0.001068804,0.001474377,0.000270541,3.47361E-60,0.001474377,0.002813723
0.05,0.1,0.04,166,264,56,9980,21,0.00079206,0.001259662,0.000280561,1.27449E-61,0.001259662,0.002332284
0.05,0.1,0.05,146,227,51,9980,21,0.000696631,0.001083119,0.000255511,5.34806E-63,0.001083119,0.002035261
0.05,0.1,0.06,112,193,55,9980,21,0.000534402,0.000920889,0.000275551,1.77156E-64,0.000920889,0.001730843
